tag,category,description,payload,required,multiple,allowed_parents,allowed_children,notes,context,level0_possible
RETI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
RFN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBM'],True
ROLE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['ASSO', 'SOURCIT.EVEN']",True
SLGC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
SLGS,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['FAM'],True
SSN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
STAE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
STAT,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI.FAMC'],True
SUBN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],True
TEMP,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBN'],True
TIME,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['CHAN.DATE', 'HEAD.DATE', 'HEAD.SOUR.DATA.DATE', 'SOURCIT.DATA.DATE']",True
TITL,,,,,,['SOUR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['INDI', 'OBJE', 'OBJE.FILE', 'SOUR']",False
TYPE,,,,,,['MARR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL']",False
VERS,,,,,,['GEDC'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.GEDC', 'HEAD.SOUR']",False
WILL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
WWW,,,,,,"['REPO', 'SUBM']",[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
