"FullPath","ParentFolder","Name","Type","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\utils\database_utils.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\utils","database_utils.py","File",".py","6051","14-Feb-25 11:04:56","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators",,"validators","Directory","",,"25-Feb-25 09:49:34","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators\__init__.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators","__init__.py","File",".py","423","25-Feb-25 12:38:30","25-Feb-25 15:05:21"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators\json_schema_validator.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators","json_schema_validator.py","File",".py","1808","09-Feb-25 23:17:02","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators\sql_schema_validator.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators","sql_schema_validator.py","File",".py","5889","15-Feb-25 15:12:20","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators\sql_to_json_schema.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\databases\validators","sql_to_json_schema.py","File",".py","6267","13-Feb-25 15:39:04","17-Feb-25 09:35:33"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments",,"enrichments","Directory","",,"28-Jan-25 22:40:07","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments\__init__.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments","__init__.py","File",".py","310","28-Jan-25 22:40:07","16-Feb-25 14:39:46"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments\__pycache__",,"__pycache__","Directory","",,"29-Jan-25 13:00:48","30-Jan-25 15:07:43"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments\__pycache__\__init__.cpython-313.pyc","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments\__pycache__","__init__.cpython-313.pyc","File",".pyc","187","29-Jan-25 13:00:48","29-Jan-25 13:00:48"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments\enrich_individuals.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\enrichments","enrich_individuals.py","File",".py","2465","09-Feb-25 14:13:16","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\full_inventory.csv","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser","full_inventory.csv","File",".csv","19479","24-Jun-25 15:35:19","24-Jun-25 15:35:19"
